polygon-label,a,b,c
1,9,0,11
1,2,0,11
1,10,0,3
1,10,9,3
1,10,9,0
1,4,2,11
1,12,4,6
1,12,4,2
1,12,0,3
1,12,2,0
1,8,9,3
1,8,5,9
1,8,12,3
1,8,5,6
1,8,12,6
1,7,9,11
1,7,5,9
1,7,4,11
1,7,5,6
1,7,4,6
2,5,0,7
2,4,0,3
2,4,0,7
2,1,5,0
2,6,5,7
2,2,4,7
2,2,6,7
2,2,4,3
2,8,6,5
2,8,1,5
2,8,2,3
2,8,2,6
2,8,0,3
2,8,1,0
3,10,2,12
3,13,2,11
3,6,7,11
3,8,7,9
3,8,7,11
3,8,13,9
3,8,13,11
3,14,7,9
3,14,13,9
3,14,13,2
3,5,2,11
3,5,10,2
3,5,6,11
3,5,10,12
3,5,6,12
3,3,2,12
3,3,14,2
3,1,14,7
3,1,3,14
3,1,3,12
3,1,6,12
3,1,6,7
4,10,9,5
4,10,9,7
4,10,1,5
4,0,1,5
4,11,10,1
4,8,9,5
4,8,0,5
4,8,0,9
4,6,9,7
4,6,0,9
4,2,0,1
4,2,11,1
4,2,6,0
4,2,6,7
4,2,10,7
4,2,11,10
5,9,4,1
5,5,4,0
5,3,4,0
5,3,9,0
5,3,9,4
5,8,5,0
5,8,5,1
5,8,9,0
5,8,9,1
5,7,4,1
5,7,5,1
5,7,5,4
6,7,4,0
6,3,4,5
6,3,4,0
6,6,7,5
6,1,4,5
6,1,7,5
6,1,7,4
6,8,3,5
6,8,3,0
6,8,6,5
6,8,7,0
6,8,6,7
7,7,10,4
7,3,10,4
7,3,12,4
7,11,10,8
7,11,7,10
7,5,10,8
7,5,3,10
7,1,11,8
7,1,11,7
7,6,1,8
7,6,1,12
7,6,5,8
7,6,3,12
7,6,5,3
7,0,12,4
7,0,1,12
7,14,1,7
7,14,0,1
7,14,7,4
7,14,0,4
8,10,12,4
8,10,11,4
8,10,11,15
8,0,10,15
8,0,10,12
8,7,1,8
8,7,1,12
8,7,0,8
8,7,0,12
8,3,12,4
8,3,1,12
8,13,0,8
8,13,11,15
8,13,0,15
8,9,11,4
8,9,3,4
8,9,3,11
8,14,13,8
8,14,13,11
8,14,3,11
8,14,3,1
8,5,1,8
8,5,14,8
8,5,14,1
9,4,6,7
9,1,6,7
9,0,6,5
9,0,4,5
9,0,4,6
9,3,4,5
9,3,4,7
9,3,1,7
9,9,3,5
9,9,3,1
9,9,6,5
9,9,1,6
10,5,9,10
10,5,9,3
10,5,0,10
10,5,0,3
10,1,9,11
10,1,9,10
10,2,0,3
10,2,9,11
10,2,9,3
10,8,1,11
10,8,2,11
10,8,2,0
10,12,0,10
10,12,1,10
10,6,12,0
10,6,12,1
10,6,8,0
10,6,8,1
11,5,8,0
11,5,3,8
11,4,8,0
11,4,3,8
11,6,4,0
11,6,4,3
11,6,5,0
11,6,5,3
12,5,10,11
12,5,10,14
12,5,4,14
12,13,1,11
12,7,1,14
12,7,13,1
12,7,13,11
12,6,10,14
12,6,10,11
12,6,1,11
12,6,8,1
12,12,8,1
12,3,4,14
12,3,7,14
12,3,7,4
12,9,5,4
12,9,7,4
12,9,5,11
12,9,7,11
12,0,1,14
12,0,12,14
12,0,12,1
12,2,12,14
12,2,12,8
12,2,6,14
12,2,6,8
13,3,0,2
13,6,0,4
13,6,0,2
13,5,1,4
13,5,1,3
13,5,0,4
13,5,3,0
13,7,3,2
13,7,1,3
13,7,6,2
13,7,1,4
13,7,6,4
14,2,4,1
14,6,0,1
14,6,0,5
14,6,4,1
14,6,4,5
14,7,4,5
14,7,4,0
14,8,4,0
14,8,2,4
14,8,0,1
14,8,2,1
14,3,0,5
14,3,7,5
14,3,7,0
15,3,7,1
15,0,7,1
15,6,3,1
15,6,8,1
15,9,0,2
15,9,0,7
15,9,3,2
15,9,3,7
15,4,0,2
15,5,8,1
15,5,0,1
15,5,4,0
15,5,6,8
15,11,4,2
15,11,5,4
15,11,3,2
15,11,6,3
15,11,5,6
16,5,0,3
16,6,5,0
16,1,0,4
16,1,0,3
16,1,5,3
16,1,6,4
16,1,6,5
16,7,6,4
16,7,6,0
16,2,0,4
16,2,7,4
16,2,7,0
17,14,3,4
17,10,7,2
17,11,7,2
17,11,14,2
17,12,7,4
17,12,14,4
17,12,11,7
17,12,11,14
17,5,7,4
17,5,10,7
17,5,3,4
17,5,10,2
17,6,5,2
17,6,14,2
17,8,5,3
17,8,6,5
17,8,14,3
17,8,6,14
18,1,11,5
18,13,11,5
18,9,2,6
18,9,2,5
18,9,1,6
18,4,2,5
18,4,13,12
18,4,13,5
18,0,1,11
18,0,13,12
18,0,13,11
18,10,1,5
18,10,9,5
18,10,9,1
18,7,4,12
18,7,4,2
18,7,2,6
18,7,0,12
18,7,1,6
18,7,0,1
19,6,7,3
19,6,7,1
19,5,7,3
19,5,7,1
19,0,6,3
19,0,6,1
19,4,5,1
19,4,0,1
19,4,5,3
19,4,0,3
20,5,9,12
20,4,5,0
20,4,5,9
20,11,1,13
20,11,1,9
20,11,4,13
20,11,4,9
20,10,5,12
20,10,5,0
20,2,1,13
20,2,1,0
20,2,4,13
20,2,4,0
20,7,10,12
20,7,10,1
20,7,9,12
20,7,1,9
20,8,1,0
20,8,10,0
20,8,10,1
21,13,10,8
21,13,10,11
21,12,13,8
21,12,0,8
21,9,10,11
21,9,0,11
21,4,0,11
21,4,12,0
21,4,13,11
21,4,12,13
21,1,10,8
21,1,7,10
21,1,0,8
21,5,9,0
21,5,7,10
21,5,9,10
21,2,5,0
21,2,5,7
21,2,1,0
21,2,1,7
22,8,5,6
22,0,8,6
22,4,5,9
22,4,5,6
22,4,0,9
22,4,0,6
22,2,5,9
22,2,8,5
22,1,0,8
22,1,2,8
22,1,0,9
22,1,2,9
23,1,4,9
23,3,12,11
23,3,10,11
23,3,10,12
23,8,10,13
23,8,10,12
23,8,1,13
23,8,1,12
23,6,4,11
23,6,10,11
23,6,10,4
23,7,1,9
23,7,4,11
23,7,4,9
23,7,12,11
23,7,1,12
23,5,1,13
23,5,1,4
23,5,10,13
23,5,10,4
24,4,8,10
24,4,15,8
24,4,15,9
24,1,8,6
24,1,14,6
24,5,8,10
24,5,14,10
24,5,1,8
24,5,1,14
24,2,8,6
24,2,15,8
24,2,15,9
24,2,14,6
24,2,14,9
24,7,4,9
24,7,14,10
24,7,4,10
24,12,14,9
24,12,7,9
24,12,7,14
25,8,6,0
25,8,7,9
25,8,7,0
25,5,7,9
25,4,6,0
25,4,7,0
25,2,8,9
25,2,8,6
25,2,5,9
25,2,5,6
25,1,5,6
25,1,5,7
25,1,4,6
25,1,4,7
26,14,10,11
26,14,10,3
26,6,10,3
26,0,10,11
26,0,6,11
26,0,6,10
26,2,6,11
26,5,2,6
26,13,5,14
26,4,14,11
26,4,5,14
26,7,2,11
26,7,5,2
26,7,4,11
26,7,4,5
26,8,6,3
26,8,13,6
26,8,14,3
26,8,13,14
26,1,5,6
26,1,13,6
26,1,13,5
27,7,8,5
27,7,0,5
27,7,0,6
27,3,0,5
27,3,1,0
27,3,8,5
27,2,7,6
27,2,0,6
27,2,1,0
27,2,3,8
27,2,3,1
27,4,7,8
27,4,2,8
27,4,2,7
28,14,4,7
28,13,6,4
28,11,4,7
28,11,6,7
28,11,6,4
28,1,14,4
28,1,13,0
28,1,13,4
28,10,13,0
28,10,13,6
28,9,12,6
28,9,10,0
28,9,10,6
28,3,12,14
28,3,1,0
28,3,1,14
28,3,9,0
28,3,9,12
28,5,14,7
28,5,12,14
28,5,6,7
28,5,12,6
29,9,3,8
29,10,3,8
29,4,9,8
29,0,9,3
29,0,10,11
29,0,10,3
29,2,0,11
29,2,0,9
29,5,10,11
29,5,2,11
29,5,2,9
29,7,10,8
29,7,5,10
29,7,4,8
29,7,4,9
29,7,5,9
30,12,9,8
30,6,9,8
30,6,0,8
30,2,12,8
30,4,2,12
30,4,0,8
30,4,2,8
30,13,6,0
30,13,4,0
30,1,3,5
30,1,3,12
30,1,4,12
30,7,12,9
30,7,3,12
30,7,3,5
30,7,6,5
30,7,6,9
30,14,13,4
30,14,1,5
30,14,1,4
30,14,6,5
30,14,13,6
31,6,4,7
31,6,3,7
31,5,4,2
31,5,4,7
31,5,3,7
31,0,6,3
31,0,4,2
31,0,6,4
31,1,5,2
31,1,5,3
31,1,0,2
31,1,0,3
32,4,7,3
32,2,0,3
32,2,4,3
32,5,7,3
32,5,0,3
32,5,2,7
32,5,2,0
32,6,4,7
32,6,2,7
32,6,2,4
33,4,2,6
33,13,15,9
33,7,2,9
33,7,15,9
33,7,15,2
33,1,2,9
33,1,4,9
33,1,4,2
33,10,4,6
33,10,15,6
33,10,13,15
33,10,4,9
33,10,13,9
33,5,2,6
33,5,11,6
33,5,11,2
33,0,15,6
33,0,11,6
33,12,11,2
33,12,0,11
33,8,15,2
33,8,12,2
33,8,0,15
33,8,12,0
34,5,0,7
34,5,0,2
34,3,0,7
34,3,0,2
34,4,3,2
34,4,5,7
34,4,3,7
34,6,5,2
34,6,4,2
34,6,4,5
35,6,2,9
35,11,8,1
35,4,2,1
35,4,8,1
35,4,6,2
35,4,6,8
35,0,6,9
35,0,6,8
35,3,11,9
35,7,11,8
35,7,0,8
35,7,0,9
35,5,3,11
35,5,2,1
35,5,11,1
35,5,2,9
35,5,3,9
35,10,11,9
35,10,7,9
35,10,7,11
36,0,4,1
36,0,3,1
36,2,4,8
36,9,4,8
36,9,0,4
36,6,0,3
36,6,2,8
36,6,2,3
36,5,3,1
36,5,2,3
36,5,4,1
36,5,2,4
36,7,6,8
36,7,6,0
36,7,9,8
36,7,9,0
37,1,0,12
37,11,8,12
37,2,8,7
37,6,0,12
37,6,8,12
37,14,1,12
37,14,1,3
37,14,11,12
37,14,11,3
37,4,1,0
37,4,6,0
37,4,2,7
37,4,1,3
37,4,2,3
37,5,2,3
37,5,2,8
37,5,11,3
37,5,11,8
37,15,8,7
37,15,6,8
37,15,4,7
37,15,4,6
38,0,5,2
38,6,0,2
38,11,5,2
38,11,8,5
38,11,6,2
38,11,8,6
38,1,8,6
