polygon-label,a,b,c
1,4,13,11
1,7,13,11
1,12,4,0
1,12,4,13
1,8,4,11
1,8,4,10
1,5,10,0
1,5,4,0
1,5,4,10
1,6,13,0
1,6,7,13
1,6,10,0
1,6,7,10
1,3,13,0
1,3,12,0
1,3,12,13
1,2,7,10
1,2,8,10
1,2,7,11
1,2,8,11
2,10,0,3
2,8,0,15
2,8,0,3
2,4,13,14
2,16,0,15
2,16,13,15
2,16,13,14
2,12,4,14
2,12,4,3
2,5,8,3
2,5,13,15
2,5,8,15
2,6,4,13
2,1,10,3
2,1,12,3
2,1,12,14
2,1,16,14
2,1,10,0
2,1,16,0
2,7,5,13
2,7,6,13
2,7,5,3
2,7,4,3
2,7,6,4
3,12,7,1
3,12,10,1
3,12,10,4
3,3,4,11
3,3,7,11
3,3,12,4
3,3,12,7
3,13,10,1
3,5,7,11
3,5,7,1
3,5,13,1
3,8,10,2
3,8,5,2
3,8,4,11
3,8,10,4
3,0,5,2
3,0,5,13
3,0,10,2
3,0,13,10
3,6,5,11
3,6,8,11
3,6,8,5
4,11,1,13
4,11,6,13
4,7,1,14
4,8,0,1
4,15,1,14
4,15,0,1
4,4,11,1
4,4,11,6
4,10,7,14
4,10,7,6
4,10,15,14
4,3,7,1
4,3,7,6
4,3,4,1
4,3,4,6
4,16,15,0
4,5,10,6
4,5,10,15
4,5,16,15
4,2,8,0
4,2,16,0
4,2,1,13
4,2,8,1
4,2,5,16
4,2,6,13
4,2,5,6
5,11,12,3
5,16,12,3
5,2,11,3
5,2,6,11
5,8,16,3
5,8,2,3
5,8,2,6
5,8,6,10
5,8,16,10
5,14,13,12
5,1,16,12
5,1,13,12
5,1,16,10
5,1,13,10
5,7,11,12
5,7,14,12
5,4,7,14
5,4,6,10
5,4,6,11
5,4,7,11
5,4,13,10
5,4,14,13
6,8,0,10
6,8,0,5
6,4,0,10
6,4,0,5
6,3,8,10
6,3,8,5
6,3,4,5
6,9,4,10
6,9,3,10
6,9,3,4
7,9,2,4
7,9,1,2
7,5,0,2
7,10,9,4
7,10,9,1
7,7,1,2
7,7,3,1
7,7,3,8
7,7,0,8
7,7,0,2
7,6,0,8
7,6,10,0
7,6,3,8
7,6,3,1
7,6,10,1
7,11,5,0
7,11,10,0
7,11,10,4
7,11,2,4
7,11,5,2
8,5,3,0
8,9,4,2
8,9,4,3
8,7,3,0
8,7,4,3
8,7,8,0
8,6,5,2
8,6,5,3
8,1,5,0
8,1,8,0
8,1,5,2
8,1,4,2
8,1,8,4
8,11,8,4
8,11,7,4
8,11,7,8
8,10,9,3
8,10,6,3
8,10,9,2
8,10,6,2
9,5,10,3
9,5,7,3
9,13,10,3
9,13,11,10
9,8,13,11
9,8,9,11
9,8,13,3
9,1,11,10
9,1,9,11
9,0,5,7
9,0,9,7
9,6,9,7
9,6,8,9
9,6,7,3
9,6,8,3
9,12,5,10
9,12,0,5
9,12,0,9
9,12,1,10
9,12,1,9
10,6,8,7
10,3,7,0
10,3,1,0
10,3,8,7
10,3,1,8
10,2,7,0
10,2,6,0
10,2,6,7
10,4,6,0
10,4,6,8
10,4,1,0
10,4,1,8
11,12,3,5
11,12,11,5
11,2,3,5
11,4,2,1
11,4,2,3
11,6,12,11
11,7,11,5
11,7,2,5
11,7,6,11
11,7,2,1
11,7,6,1
11,8,12,3
11,8,4,3
11,8,4,12
11,13,6,1
11,13,6,12
11,13,4,1
11,13,4,12
12,3,6,7
12,3,6,8
12,0,6,8
12,0,4,8
12,0,6,7
12,0,4,7
12,5,3,8
12,5,3,7
12,2,4,8
12,2,5,8
12,2,4,7
12,2,5,7
13,11,12,13
13,0,12,13
13,9,8,4
13,9,11,13
13,3,0,13
13,3,9,13
13,3,9,8
13,10,8,4
13,10,0,4
13,10,3,8
13,10,3,0
13,7,0,12
13,2,7,12
13,2,11,12
13,2,0,4
13,2,7,0
13,2,9,4
13,2,9,11
14,8,13,7
14,2,13,1
14,2,12,13
14,10,12,13
14,0,12,7
14,0,9,12
14,0,8,7
14,0,8,9
14,4,9,1
14,4,8,9
14,3,2,1
14,3,2,12
14,3,9,1
14,3,9,12
14,6,13,7
14,6,10,13
14,11,12,7
14,11,10,12
14,11,6,7
14,11,6,10
14,5,4,1
14,5,4,8
14,5,13,1
14,5,8,13
15,3,7,8
15,3,7,2
15,4,5,2
15,4,7,8
15,0,5,2
15,0,3,2
15,9,4,8
15,9,4,5
15,9,3,8
15,9,0,5
15,9,0,3
15,1,7,2
15,1,4,2
15,1,4,7
16,11,2,12
16,3,7,12
16,3,2,12
16,3,7,4
16,0,7,12
16,0,11,12
16,0,11,7
16,5,7,4
16,5,11,7
16,9,11,2
16,1,9,11
16,1,3,4
16,1,9,3
16,8,3,2
16,8,9,2
16,8,9,3
16,10,1,4
16,10,1,11
16,10,5,4
16,10,5,11
17,5,0,6
17,1,5,6
17,1,5,4
17,1,3,4
17,2,5,4
17,2,3,4
17,2,3,0
17,7,1,6
17,7,1,3
17,7,0,6
17,7,3,0
17,8,5,0
17,8,2,0
17,8,2,5
18,2,6,7
18,4,2,0
18,4,2,6
18,5,4,0
18,5,2,0
18,3,6,7
18,3,4,6
18,3,5,4
18,3,2,7
18,3,5,2
19,4,2,6
19,7,0,5
19,7,2,5
19,7,4,0
19,7,4,2
19,1,3,6
19,1,4,6
19,1,4,0
19,9,0,5
19,9,1,0
19,9,1,3
19,8,2,5
19,8,9,5
19,8,9,3
19,8,2,6
19,8,3,6
20,5,1,6
20,5,1,0
20,7,1,6
20,7,1,0
20,4,3,0
20,4,5,0
20,4,3,6
20,4,5,6
20,2,3,6
20,2,7,6
20,2,3,0
20,2,7,0
21,1,4,7
21,6,7,2
21,6,1,7
21,9,4,7
21,8,1,4
21,0,7,2
21,0,9,7
21,0,9,4
21,3,6,2
21,3,6,1
21,3,8,1
21,5,8,4
21,5,0,4
21,5,0,2
21,5,3,2
21,5,3,8
22,5,7,1
22,5,4,1
22,5,7,6
22,5,4,6
22,0,7,1
22,0,4,1
22,2,7,6
22,2,0,7
22,2,4,6
22,2,0,4
23,0,8,10
23,7,13,10
23,5,13,11
23,5,7,8
23,5,7,13
23,3,13,11
23,3,0,11
23,9,8,10
23,9,7,10
23,9,7,8
23,1,5,11
23,1,5,8
23,1,0,11
23,1,0,8
23,4,13,10
23,4,3,13
23,12,0,10
23,12,4,10
23,6,3,0
23,6,12,0
23,6,4,3
23,6,12,4
24,8,9,11
24,3,9,6
24,4,8,11
24,4,12,11
24,7,9,6
24,7,8,9
24,7,4,8
24,7,4,12
24,10,9,11
24,10,3,9
24,2,3,6
24,2,10,3
24,1,7,6
24,1,7,12
24,1,2,6
24,1,2,12
24,0,10,11
24,0,2,10
24,0,12,11
24,0,2,12
25,1,4,10
25,8,5,11
25,7,4,10
25,7,5,4
25,7,8,10
25,7,8,5
25,9,1,11
25,9,1,4
25,0,1,11
25,0,8,11
25,0,1,10
25,0,8,10
25,2,5,4
25,2,9,4
25,3,2,5
25,3,2,9
25,3,5,11
25,3,9,11
26,4,7,0
26,4,7,3
26,2,7,0
26,2,5,7
26,10,8,3
26,10,7,3
26,10,5,7
26,10,2,5
26,10,2,8
26,6,4,3
26,6,8,3
26,6,4,0
26,6,2,0
26,6,2,8
27,6,7,3
27,6,9,3
27,8,7,3
27,8,0,3
27,5,9,3
27,5,0,3
27,5,8,0
27,2,6,7
27,1,5,9
27,1,8,7
27,1,5,8
27,4,6,9
27,4,2,6
27,4,2,7
27,4,1,7
27,4,1,9
28,3,5,2
28,4,2,6
28,4,3,2
28,7,2,6
28,7,5,2
28,0,7,6
28,0,7,5
28,1,4,6
28,1,4,3
28,1,0,6
28,1,3,5
28,1,0,5
29,2,5,6
29,8,6,10
29,8,3,6
29,0,5,6
29,11,6,10
29,11,2,10
29,11,2,6
29,4,8,10
29,9,8,3
29,9,4,5
29,9,4,8
29,1,2,5
29,1,4,5
29,1,2,10
29,1,4,10
29,7,3,6
29,7,9,3
29,7,0,6
29,7,0,5
29,7,9,5
30,9,4,7
30,9,8,7
30,0,4,5
30,0,8,7
30,0,8,5
30,2,4,5
30,2,9,4
30,2,8,5
30,2,9,8
30,6,4,7
30,6,0,7
30,6,0,4
31,9,2,7
31,3,7,6
31,3,5,6
31,3,9,7
31,3,9,5
31,8,7,6
31,8,2,7
31,0,8,6
31,0,8,2
31,4,5,6
31,4,0,6
31,4,0,5
31,10,9,2
31,10,0,2
31,10,9,5
31,10,0,5
32,11,3,2
32,7,3,2
32,4,0,2
32,4,0,6
32,4,7,2
32,4,7,6
32,5,0,2
32,5,11,2
32,5,11,0
32,8,11,0
32,8,11,3
32,12,7,6
32,12,7,3
32,12,8,3
32,1,12,6
32,1,12,8
32,1,0,6
32,1,8,0
33,5,8,1
33,11,5,8
33,12,5,3
33,12,5,1
33,7,2,8
33,7,11,3
33,7,11,8
33,7,12,2
33,0,8,1
33,0,2,1
33,0,2,8
33,6,5,3
33,6,11,3
33,6,11,5
33,9,2,1
33,9,12,1
33,9,12,2
33,4,12,3
33,4,7,3
33,4,7,12
34,11,12,1
34,11,10,1
34,13,11,10
34,4,5,12
34,4,10,1
34,4,5,10
34,14,5,16
34,2,13,10
34,2,5,16
34,2,5,10
34,15,12,1
34,15,4,1
34,15,4,12
34,8,14,16
34,8,11,12
34,7,5,12
34,7,14,5
34,7,8,12
34,7,8,14
34,0,13,11
34,0,2,13
34,0,2,16
34,0,8,16
34,0,8,11
35,12,1,3
35,4,1,3
35,2,1,6
35,2,12,6
35,2,12,1
35,11,12,3
35,11,0,12
35,11,4,3
35,11,4,0
35,5,1,6
35,5,4,1
35,8,4,0
35,8,5,4
35,8,5,6
35,8,12,6
35,8,0,12
36,3,2,0
36,3,2,8
36,7,2,8
36,4,5,0
36,4,3,0
36,4,3,5
36,6,3,8
36,6,3,5
36,6,7,8
36,6,7,5
36,1,2,0
36,1,7,2
36,1,5,0
36,1,7,5
37,0,5,2
37,3,5,2
37,3,1,2
37,3,1,5
37,7,1,6
37,7,1,5
37,7,0,6
37,7,0,5
37,4,0,2
37,4,0,6
37,4,1,2
37,4,1,6
38,2,7,8
38,3,14,12
38,3,14,7
38,9,7,8
38,9,14,8
38,9,14,7
38,1,2,8
38,1,2,7
38,1,5,7
38,6,14,12
38,6,5,12
38,11,3,12
38,11,3,7
38,11,5,12
38,11,5,7
38,13,1,5
38,13,6,5
38,13,6,1
38,4,1,8
38,4,6,1
38,4,16,6
38,15,4,8
38,15,4,16
38,15,14,8
38,15,6,14
38,15,16,6
39,3,10,8
39,13,10,8
39,13,4,8
39,13,4,10
39,1,4,8
39,1,3,8
39,1,3,9
39,5,1,9
39,5,1,4
39,6,3,10
39,6,0,3
39,6,0,12
39,6,4,12
39,6,4,10
39,2,3,9
39,2,0,3
39,2,0,12
39,2,5,9
39,2,4,12
39,2,5,4
40,12,8,1
40,5,13,10
40,5,13,8
40,2,0,13
40,15,12,8
40,15,5,10
40,15,5,8
40,16,2,1
40,16,2,0
40,16,12,10
40,16,13,10
40,16,0,13
40,7,8,1
40,7,2,1
40,14,13,8
40,14,2,13
40,14,7,8
40,14,7,2
40,4,12,10
40,4,15,10
40,4,15,12
40,3,12,1
40,3,16,1
40,3,16,12
41,2,0,7
41,5,0,7
41,5,4,7
41,5,10,3
41,5,10,4
41,9,2,7
41,9,4,7
41,9,10,4
41,11,5,3
41,11,5,0
41,11,8,3
41,11,8,0
41,6,2,0
41,6,8,0
41,6,8,2
41,12,10,3
41,12,9,10
41,12,8,3
41,12,8,2
41,12,9,2
42,1,8,5
42,1,3,5
42,10,8,5
42,10,3,5
42,10,8,0
42,6,1,0
42,6,1,8
42,4,1,0
42,4,1,3
42,2,8,0
42,2,6,0
42,2,6,8
42,11,10,3
42,11,4,3
42,11,10,0
42,11,4,0
43,2,1,0
43,2,1,8
43,6,2,8
43,5,1,0
43,5,6,0
43,4,2,0
43,4,6,0
43,4,6,2
43,10,1,8
43,10,5,1
43,10,5,6
43,7,6,8
43,7,10,8
43,7,10,6
44,5,1,0
44,5,1,7
44,6,1,0
44,6,1,7
44,2,5,7
44,2,5,4
44,3,6,7
44,3,2,7
44,3,2,4
44,3,6,0
44,3,5,0
44,3,5,4
45,11,6,10
45,0,6,10
45,2,11,6
45,12,2,11
45,12,1,9
45,12,1,0
45,7,2,6
45,7,12,9
45,7,12,2
45,8,1,9
45,8,1,6
45,8,7,9
45,8,7,6
45,4,0,6
45,4,1,6
45,4,1,0
45,13,11,10
45,13,12,11
45,13,0,10
45,13,12,0
46,9,10,14
46,16,17,7
46,13,17,7
46,13,9,17
46,0,9,17
46,4,10,3
